X	Y		
1	4.12282361e-11		
2	4.605750503e-11		
2	-1e+250		
3	1.302436213e-13		
3	-1e+250		
4	4.999999912e-15		
4	-1e+250		
5	1.915446934e-14		
5	-1e+250		
6	1.141722994e-14		
6	-1e+250		
7	4.999999912e-15		
7	-1e+250		
8	1.526690287e-13		
8	-1e+250		
9	4.999999912e-15		
9	-1e+250		
10	4.999999912e-15		
10	-1e+250		
11	4.999999912e-15		
11	-1e+250		
12	1.973279396e-12		
12	-1e+250		
13	5.282397241e-13		
13	-1e+250		
14	5.063598412e-12		
14	-1e+250		
15	3.35472275e-12		
15	-1e+250		
16	3.831065326e-11		
16	-1e+250		
17	3.65128261e-10		
17	-1e+250		
18	1.338052225e-09		
18	-1e+250		
19	2.568167727e-11		
19	-1e+250		
20	3.043047151e-12		
20	-1e+250		
21	9.011061754e-14		
21	-1e+250		
22	2.669348575e-13		
22	-1e+250		
23	4.999999912e-15		
23	-1e+250		
24	1.305581348e-13		
24	-1e+250		
25	4.066455018e-13		
25	-1e+250		
26	1.625119202e-12		
26	-1e+250		
27	2.823620894e-12		
27	-1e+250		
28	8.203290824e-11		
28	-1e+250		
29	5.638340923e-12		
29	-1e+250		
30	1.96823135e-12		
30	-1e+250		
31	7.275208539e-13		
31	-1e+250		
32	1.234078638e-11		
32	-1e+250		
33	1.914181297e-13		
33	-1e+250		
34	1.814792484e-13		
34	-1e+250		
35	7.617729825e-14		
35	-1e+250		
36	3.513839881e-13		
36	-1e+250		
37	3.015637056e-13		
37	-1e+250		
38	5.551942369e-13		
38	-1e+250		
39	1.999133064e-12		
39	-1e+250		
40	1.31487475e-12		
40	-1e+250		
41	2.062917979e-12		
41	-1e+250		
42	1.143271675e-12		
42	-1e+250		
43	1.069608811e-11		
43	-1e+250		
44	1.763924076e-11		
44	-1e+250		
45	1.772409801e-12		
45	-1e+250		
46	3.872395297e-13		
46	-1e+250		
47	8.042333211e-14		
47	-1e+250		
48	1.040753922e-13		
48	-1e+250		
49	8.319113763e-14		
49	-1e+250		
50	6.753416186e-13		
50	-1e+250		
51	1.302860055e-12		
51	-1e+250		
52	3.196801818e-13		
52	-1e+250		
53	2.970975245e-13		
53	-1e+250		
54	1.435478933e-13		
54	-1e+250		
55	7.426493773e-13		
55	-1e+250		
56	3.754449551e-13		
56	-1e+250		
57	7.509841273e-13		
57	-1e+250		
58	3.237060956e-13		
58	-1e+250		
59	2.646388425e-13		
59	-1e+250		
60	1.568207234e-13		
60	-1e+250		
61	1.722008359e-13		
61	-1e+250		
62	1.277589146e-13		
62	-1e+250		
63	2.510514854e-13		
63	-1e+250		
64	1.193611724e-13		
64	-1e+250		
65	3.856039836e-13		
65	-1e+250		
66	3.846289877e-13		
66	-1e+250		
67	2.83981958e-13		
67	-1e+250		
68	1.632055087e-13		
68	-1e+250		
69	2.581911464e-13		
69	-1e+250		
70	1.755033429e-13		
70	-1e+250		
71	2.899578635e-13		
71	-1e+250		
72	8.520408093e-14		
72	-1e+250		
73	8.551859443e-14		
73	-1e+250		
74	1.375090769e-13		
74	-1e+250		
75	1.209652224e-13		
75	-1e+250		
76	1.358421161e-13		
76	-1e+250		
77	9.092672904e-13		
77	-1e+250		
78	3.968638569e-13		
78	-1e+250		
79	1.547763382e-13		
79	-1e+250		
80	3.959839726e-14		
80	-1e+250		
81	9.879142453e-14		
