X	Y		
1	1.020750914e-10		
2	1.396199406e-10		
2	-1e+250		
3	3.50125907e-13		
3	-1e+250		
4	7.454178605e-14		
4	-1e+250		
5	3.859190528e-14		
5	-1e+250		
6	2.031820621e-14		
6	-1e+250		
7	2.330615898e-14		
7	-1e+250		
9	2.491022254e-14		
9	-1e+250		
10	8.775261334e-15		
10	-1e+250		
11	7.202653187e-15		
11	-1e+250		
12	1.818754782e-12		
12	-1e+250		
13	6.538912207e-13		
13	-1e+250		
14	5.451357248e-12		
14	-1e+250		
15	7.040589466e-12		
15	-1e+250		
16	1.250803489e-10		
16	-1e+250		
17	1.929632898e-09		
17	-1e+250		
18	7.253136314e-09		
18	-1e+250		
19	1.187934057e-10		
19	-1e+250		
20	1.80651015e-11		
20	-1e+250		
21	3.682109413e-13		
21	-1e+250		
22	5.097457829e-13		
22	-1e+250		
23	2.805545238e-14		
23	-1e+250		
24	2.315511606e-13		
24	-1e+250		
25	7.575262574e-13		
25	-1e+250		
26	3.917591078e-12		
26	-1e+250		
27	6.126400602e-12		
27	-1e+250		
28	1.161695184e-10		
28	-1e+250		
29	9.92911222e-12		
29	-1e+250		
30	4.080608247e-12		
30	-1e+250		
31	2.217128174e-12		
31	-1e+250		
32	1.52603364e-11		
32	-1e+250		
33	3.53396945e-13		
33	-1e+250		
34	5.151870684e-13		
34	-1e+250		
35	9.640107723e-14		
35	-1e+250		
36	5.406947676e-13		
36	-1e+250		
37	5.773680145e-13		
37	-1e+250		
38	1.290939686e-12		
38	-1e+250		
39	5.468703615e-12		
39	-1e+250		
40	1.91252938e-12		
40	-1e+250		
41	5.667245319e-12		
41	-1e+250		
42	2.603125181e-12		
42	-1e+250		
43	4.71642829e-11		
43	-1e+250		
44	3.410549967e-11		
44	-1e+250		
45	8.005149495e-12		
45	-1e+250		
46	9.252921779e-13		
46	-1e+250		
47	2.028667761e-13		
47	-1e+250		
48	1.878954891e-13		
48	-1e+250		
49	2.465852772e-13		
49	-1e+250		
50	2.256726707e-12		
50	-1e+250		
51	5.263824099e-12		
51	-1e+250		
52	1.351909903e-12		
52	-1e+250		
53	8.749372754e-13		
53	-1e+250		
54	3.049605924e-13		
54	-1e+250		
55	1.999117451e-12		
55	-1e+250		
56	1.095039749e-12		
56	-1e+250		
57	3.180666017e-12		
57	-1e+250		
58	1.720608031e-12		
58	-1e+250		
59	1.348277067e-12		
59	-1e+250		
60	6.17438121e-13		
60	-1e+250		
61	1.583964188e-12		
61	-1e+250		
62	6.812231443e-13		
62	-1e+250		
63	1.160303082e-12		
63	-1e+250		
64	7.830527893e-12		
64	-1e+250		
65	5.268296216e-11		
65	-1e+250		
66	1.101304742e-10		
66	-1e+250		
67	3.030845366e-11		
67	-1e+250		
68	2.497132709e-11		
68	-1e+250		
69	1.115483682e-12		
69	-1e+250		
70	7.115745168e-13		
70	-1e+250		
71	1.187100223e-12		
71	-1e+250		
72	2.327777999e-13		
72	-1e+250		
73	1.939343055e-13		
73	-1e+250		
74	4.774758605e-13		
74	-1e+250		
75	4.179683401e-13		
75	-1e+250		
76	4.971964138e-13		
76	-1e+250		
77	4.485758986e-12		
77	-1e+250		
78	2.589695168e-12		
78	-1e+250		
79	6.075936195e-13		
79	-1e+250		
80	1.160586926e-13		
80	-1e+250		
81	2.896748054e-13		
81	-1e+250		
82	2.058861707e-13		
82	-1e+250		
83	4.186917197e-13		
83	-1e+250		
84	3.737464982e-13		
84	-1e+250		
85	5.482118123e-13		
85	-1e+250		
86	1.350243702e-13		
86	-1e+250		
87	1.004898476e-13		
87	-1e+250		
88	3.258457143e-14		
88	-1e+250		
89	2.507998963e-13		
89	-1e+250		
90	9.501717447e-14		
90	-1e+250		
91	1.141242916e-12		
91	-1e+250		
92	2.000045908e-13		
92	-1e+250		
93	2.85932004e-13		
93	-1e+250		
94	2.694195778e-13		
94	-1e+250		
95	2.339729701e-13		
95	-1e+250		
96	1.176942116e-13		
96	-1e+250		
97	2.04187768e-13		
97	-1e+250		
98	1.442398718e-13		
98	-1e+250		
99	1.480770259e-13		
99	-1e+250		
100	4.063633111e-14		
100	-1e+250		
101	4.425335153e-14		
101	-1e+250		
102	2.727849955e-13		
102	-1e+250		
103	8.23701567e-13		
103	-1e+250		
104	1.547763382e-13		
104	-1e+250		
105	1.730971703e-12		
105	-1e+250		
106	2.007594666e-13		
106	-1e+250		
107	1.022511611e-13		
107	-1e+250		
108	5.884716e-14		
108	-1e+250		
109	1.088246789e-13		
109	-1e+250		
110	6.192945191e-14		
110	-1e+250		
111	1.267524226e-13		
111	-1e+250		
112	7.831605644e-14		
112	-1e+250		
113	8.806623237e-14		
113	-1e+250		
114	3.623303372e-14		
114	-1e+250		
115	5.004674518e-13		
115	-1e+250		
116	1.152094913e-13		
116	-1e+250		
117	1.031223284e-12		
117	-1e+250		
118	1.080147148e-12		
118	-1e+250		
119	3.078541653e-13		
119	-1e+250		
120	4.949947787e-13		
120	-1e+250		
121	4.819466874e-12		
121	-1e+250		
122	4.996811341e-13		
122	-1e+250		
123	8.941869326e-14		
123	-1e+250		
124	8.048303777e-13		
124	-1e+250		
125	5.120425297e-14		
125	-1e+250		
126	7.445679273e-13		
126	-1e+250		
127	1.640232817e-13		
127	-1e+250		
128	1.405735511e-11		
128	-1e+250		
129	1.801488542e-10		
129	-1e+250		
130	2.789810397e-11		
130	-1e+250		
131	1.336297323e-10		
131	-1e+250		
132	1.698774454e-10		
132	-1e+250		
133	6.03190295e-13		
133	-1e+250		
134	6.483438786e-11		
134	-1e+250		
135	4.576924235e-13		
135	-1e+250		
136	5.362049693e-11		
136	-1e+250		
137	2.971604354e-13		
137	-1e+250		
138	5.129863277e-14		
138	-1e+250		
139	4.733565699e-14		
139	-1e+250		
140	4.802759481e-14		
140	-1e+250		
141	5.828101673e-14		
141	-1e+250		
142	4.711548263e-14		
142	-1e+250		
143	1.962626838e-14		
143	-1e+250		
144	1.129142353e-14		
144	-1e+250		
145	5.991652216e-14		
145	-1e+250		
146	3.749111481e-14		
146	-1e+250		
147	4.595175423e-14		
147	-1e+250		
148	3.296200932e-14		
148	-1e+250		
149	5.957055324e-14		
149	-1e+250		
150	4.113959065e-14		
150	-1e+250		
151	2.626266988e-14		
151	-1e+250		
152	2.92506362e-14		
152	-1e+250		
153	3.940970543e-14		
153	-1e+250		
154	5.519871127e-14		
154	-1e+250		
155	2.277148468e-14		
155	-1e+250		
156	3.32450674e-14		
156	-1e+250		
157	3.330796468e-14		
157	-1e+250		
158	3.289909848e-14		
158	-1e+250		
159	2.984823489e-14		
159	-1e+250		
160	2.560216037e-14		
160	-1e+250		
161	3.23014998e-14		
161	-1e+250		
162	1.739315072e-14		
162	-1e+250		
163	4.878245702e-14		
163	-1e+250		
164	4.346702035e-14		
164	-1e+250		
165	2.368359686e-14		
165	-1e+250		
166	9.561565407e-15		
166	-1e+250		
167	4.161134057e-14		
167	-1e+250		
168	6.655295076e-14		
168	-1e+250		
169	7.127076164e-14		
169	-1e+250		
170	5.136153005e-14		
170	-1e+250		
171	2.384086038e-14		
171	-1e+250		
172	2.440700365e-14		
172	-1e+250		
173	1.924884406e-14		
173	-1e+250		
174	3.14522849e-14		
174	-1e+250		
175	2.318036442e-14		
175	-1e+250		
176	3.129504848e-14		
176	-1e+250		
177	3.173535653e-14		
177	-1e+250		
178	3.695642696e-14		
178	-1e+250		
179	3.761692292e-14		
179	-1e+250		
180	1.192047763e-14		
180	-1e+250		
181	3.04143646e-14		
181	-1e+250		
182	4.359284201e-14		
182	-1e+250		
183	4.139117976e-14		
183	-1e+250		
184	2.711188479e-14		
184	-1e+250		
185	3.063455251e-14		
185	-1e+250		
186	4.906554221e-14		
186	-1e+250		
187	3.094906601e-14		
187	-1e+250		
188	1.978353191e-14		
188	-1e+250		
189	2.119889008e-14		
189	-1e+250		
190	3.063452541e-14		
190	-1e+250		
191	3.267893768e-14		
191	-1e+250		
192	3.852902155e-14		
192	-1e+250		
193	1.789639671e-14		
193	-1e+250		
194	1.380759927e-14		
194	-1e+250		
195	3.896937027e-14		
195	-1e+250		
196	4.406463259e-14		
196	-1e+250		
197	4.378156095e-14		
197	-1e+250		
198	3.579269856e-14		
198	-1e+250		
199	3.500639448e-14		
199	-1e+250		

