PV MassSpec-23.06.00
EXPORTED SCAN DATA
Run Path and Name: c:\Pfeiffer Vacuum\data\001-18-2024\Monitor, Position 1, RGA PrismaPro A 200 47504651, 001-18-2024 08'55'31.isi
01/18/2024 08:55:31
SensorID:  RGA PrismaPro A 200 47504651
56 Bins
125 TimePoints

Time Relative (sec)	Time Absolute (UTC)	Time Absolute (Date_Time)	Step	Ionizer_State	Pressure_(Torr)	Analog_1	1_amu	2_amu	3_amu	4_amu	5_amu	6_amu	7_amu	8_amu	9_amu	10_amu	11_amu	12_amu	13_amu	14_amu	15_amu	16_amu	17_amu	18_amu	19_amu	20_amu	21_amu	22_amu	23_amu	24_amu	25_amu	26_amu	27_amu	28_amu	29_amu	30_amu	31_amu	32_amu	33_amu	34_amu	35_amu	36_amu	37_amu	38_amu	39_amu	40_amu	41_amu	42_amu	43_amu	44_amu	45_amu	46_amu	47_amu	48_amu	49_amu	50_amu	Periph:_Digital_In_0	Periph:_Digital_In_1
16.318	1705564547.426	01/18/2024_08:55:47.426	1	2	5.282241773e-07	0.00800000038	9.445738462e-12	2.762980122e-11	8.036035352e-15	4.999999912e-15	1.61821528e-14	4.175278829e-14	4.898679186e-14	1.081483739e-13	1.011187932e-14	2.995821364e-14	1.467244871e-14	2.5421078e-12	1.115090442e-12	8.260856409e-12	4.958784251e-12	1.178595502e-11	4.64345784e-11	1.531479388e-10	2.04934637e-12	5.296392123e-13	2.344761009e-14	2.422605302e-13	1.602489266e-14	3.112037537e-13	6.672741244e-13	2.14650216e-12	2.992676419e-12	6.12914372e-11	2.76062246e-12	3.121111442e-12	1.492563939e-13	1.077126062e-11	1.405441247e-13	2.27729619e-13	1.346940138e-13	4.175750728e-13	3.946778614e-13	4.561354549e-13	1.025687456e-12	1.119839573e-12	9.626258124e-13	6.372686124e-13	6.144972768e-13	8.488034928e-12	3.37403445e-13	7.339369726e-14	3.222277317e-14	1.592581725e-13	4.684804045e-14	1.275228973e-13	1	1
25.337	1705564556.445	01/18/2024_08:55:56.445	1	2	3.444934293e-07	0.01000000071	2.985163332e-12	1.559153327e-11	7.080675361e-15	5.948396445e-15	1.082348695e-14	2.802783911e-14	7.677873907e-14	1.085454629e-13	4.999999912e-15	1.23960951e-14	1.176705201e-14	1.362513075e-12	5.091835157e-13	6.877954803e-12	1.817280159e-12	5.887902145e-12	1.619219168e-11	5.021525903e-11	4.79901546e-13	3.519540074e-13	1.937848414e-14	9.942432077e-14	1.104365114e-14	1.808854986e-13	3.56577452e-13	1.047377679e-12	1.37026588e-12	5.042375198e-11	1.449273752e-12	1.65365009e-12	7.737633098e-14	9.484130495e-12	9.939286536e-14	1.482381248e-13	7.492306607e-14	2.38191411e-13	2.234717809e-13	2.383801164e-13	5.02956021e-13	8.599069265e-13	4.145753023e-13	2.688887524e-13	2.955602072e-13	4.131328526e-12	1.675497713e-13	5.079922214e-14	3.054400808e-14	6.671404287e-14	2.975770739e-14	6.514142795e-14	1	1
34.356	1705564565.464	01/18/2024_08:56:05.464	1	2	2.817626239e-07	0.01400000043	1.756467476e-12	1.178076907e-11	4.999999912e-15	2.090391594e-14	1.052469015e-14	2.640804615e-14	1.017675121e-13	8.1512298e-14	4.999999912e-15	1.461347489e-14	4.999999912e-15	9.361312723e-13	3.478180472e-13	6.85658301e-12	1.072256433e-12	4.232635943e-12	9.641437822e-12	2.906734402e-11	2.483661876e-13	3.030615581e-13	1.105937631e-14	6.421358806e-14	5.523791534e-15	1.28376056e-13	2.534300081e-13	7.22822518e-13	9.125736191e-13	4.609439219e-11	1.029104102e-12	1.220679265e-12	3.845423871e-14	8.88546875e-12	8.072598715e-14	9.962876065e-14	7.11959788e-14	1.674396976e-13	1.464296214e-13	1.515877945e-13	3.298273655e-13	7.768574195e-13	2.651931138e-13	1.916893429e-13	1.924127361e-13	2.759289542e-12	9.494237807e-14	3.486868726e-14	2.0274872e-14	5.546987701e-14	1.530542457e-14	5.125528162e-14	1	1
43.375	1705564574.483	01/18/2024_08:56:14.483	1	2	2.411919411e-07	0.0120000001	1.322812519e-12	9.914780802e-12	3.272207537e-14	2.382110419e-14	1.564353471e-14	2.46703157e-14	9.326754321e-14	7.461639948e-14	4.999999912e-15	4.999999912e-15	1.787664052e-14	7.494861936e-13	2.720418292e-13	6.925313187e-12	7.884554554e-13	3.598850601e-12	7.227395765e-12	2.127032925e-11	1.387159701e-13	2.868243566e-13	1.375640375e-14	4.080529046e-14	4.999999912e-15	1.059113328e-13	1.857055498e-13	5.591375344e-13	7.044466464e-13	4.394740474e-11	8.442200931e-13	9.99656846e-13	3.168415169e-14	8.481206189e-12	7.883099148e-14	8.672549441e-14	4.627797711e-14	1.227382589e-13	1.257262117e-13	1.210398426e-13	2.554350774e-13	7.48322411e-13	2.139810952e-13	1.430249148e-13	1.647583979e-13	2.167555632e-12	9.367642973e-14	8.440981475e-15	8.000651397e-15	1.781373646e-14	5.327215516e-15	3.938993906e-14	1	1
52.394	1705564583.502	01/18/2024_08:56:23.502	1	2	2.100343579e-07	0.01400000043	1.105249681e-12	8.829987089e-12	1.871798648e-14	8.841998212e-15	1.3339661e-14	9.65975516e-15	9.454922603e-14	5.922841292e-14	9.282329137e-15	1.132672193e-14	1.922122231e-14	6.682372754e-13	2.264597201e-13	6.921059646e-12	6.352124772e-13	3.260951838e-12	6.088347274e-12	1.756526868e-11	1.10778567e-13	2.947424477e-13	2.645522588e-14	4.498056658e-14	4.999999912e-15	1.081680318e-13	1.77048331e-13	4.710635094e-13	5.913995422e-13	4.266451428e-11	7.345384609e-13	8.866728424e-13	4.630155851e-14	8.282719129e-12	6.29712279e-14	8.939107321e-14	3.721187854e-14	1.059349209e-13	1.056833047e-13	1.306248946e-13	2.230628876e-13	7.313618027e-13	1.73966012e-13	9.932995453e-14	1.415702543e-13	1.848826864e-12	7.721906746e-14	2.947463915e-14	9.754111242e-15	2.739879179e-14	2.893995129e-14	3.428682306e-14	1	1
61.413	1705564592.521	01/18/2024_08:56:32.521	1	2	1.998059957e-07	0.01400000043	9.559147094e-13	8.060037013e-12	4.999999912e-15	7.127853402e-15	4.999999912e-15	1.602882459e-14	1.048498243e-13	6.462246103e-14	4.999999912e-15	1.640624892e-14	1.8859524e-14	5.609695651e-13	1.843609629e-13	6.88122519e-12	5.292657588e-13	3.058210803e-12	5.360558785e-12	1.545545462e-11	9.670371193e-14	2.773022155e-13	4.999999912e-15	4.892781465e-14	3.159766285e-14	8.490912373e-14	1.453916875e-13	3.845541778e-13	5.095766474e-13	4.169876597e-11	6.735683517e-13	8.241929817e-13	2.732016341e-14	8.128178686e-12	8.82116171e-14	8.594705758e-14	3.848569074e-14	9.726984165e-14	9.264636313e-14	9.145119286e-14	1.844867846e-13	7.123489082e-13	1.454231429e-13	8.053727498e-14	1.314898304e-13	1.666687188e-12	7.591380324e-14	2.691128367e-14	1.753852868e-14	3.911473806e-14	3.747922247e-14	4.125348948e-14	1	1
70.432	1705564601.540	01/18/2024_08:56:41.540	1	2	1.846178037e-07	0.01000000071	8.777836314e-13	7.501033648e-12	2.590088178e-14	1.127561196e-14	1.756604878e-14	2.09943401e-14	1.0333619e-13	7.053154583e-14	4.999999912e-15	3.039854542e-14	4.999999912e-15	5.252988257e-13	1.644163592e-13	6.870464267e-12	4.906385086e-13	2.93134462e-12	4.913210463e-12	1.416951192e-11	8.713830438e-14	2.874887828e-13	8.382010194e-15	2.917190957e-14	1.265950879e-14	6.326609023e-14	1.18873566e-13	3.539787549e-13	4.576137104e-13	4.113120261e-11	6.474276952e-13	8.201317772e-13	4.168988085e-14	8.046179174e-12	6.675728221e-14	8.100512177e-14	4.191004843e-14	7.191544181e-14	8.122529613e-14	7.745103251e-14	1.663663781e-13	6.73847588e-13	1.543516427e-13	8.962303149e-14	1.284035812e-13	1.535260092e-12	5.804502658e-14	1.992496608e-14	1.438937877e-14	1.813218866e-14	2.033384244e-14	1.508132845e-14	1	1
79.451	1705564610.559	01/18/2024_08:56:50.559	1	2	1.774363767e-07	0.01000000071	8.393333229e-13	7.109910317e-12	1.066229489e-14	1.412203484e-14	7.076743857e-15	1.446801053e-14	1.036035271e-13	5.013479933e-14	4.999999912e-15	1.346154057e-14	7.139647489e-15	5.038012108e-13	1.673256667e-13	6.844044428e-12	4.357701808e-13	2.823211933e-12	4.636981771e-12	1.324767986e-11	6.18350179e-14	2.630347112e-13	6.070273475e-15	1.563174063e-14	1.019051109e-14	6.878594645e-14	1.0788103e-13	3.24712452e-13	4.328136699e-13	4.045310614e-11	6.144815017e-13	7.780014697e-13	2.623112976e-14	7.954527662e-12	5.93502908e-14	6.579799368e-14	2.223670026e-14	7.350378444e-14	6.636413017e-14	8.444915096e-14	1.704708965e-13	6.96099916e-13	1.288281818e-13	8.023454541e-14	1.157126153e-13	1.422079468e-12	6.762221805e-14	4.999999912e-15	4.999999912e-15	1.188892904e-14	4.999999912e-15	3.708213681e-14	1	1
88.47	1705564619.578	01/18/2024_08:56:59.578	1	2	1.686050553e-07	0.0120000001	7.845160068e-13	6.767651543e-12	4.999999912e-15	5.067734596e-15	4.999999912e-15	4.999999912e-15	1.006824019e-13	5.863082779e-14	8.999259196e-15	8.401667288e-15	2.290113154e-14	4.65339193e-13	1.570132913e-13	6.80693479e-12	4.016798829e-13	2.741345562e-12	4.412511155e-12	1.252843575e-11	6.929312267e-14	2.73858166e-13	8.779094158e-15	1.538405464e-14	1.249045372e-14	6.948182806e-14	1.318515203e-13	3.140855631e-13	4.041646033e-13	4.024227826e-11	5.897011395e-13	7.446032181e-13	7.646814395e-15	7.850943853e-12	4.428862198e-14	7.627550664e-14	2.397050216e-14	8.898218669e-14	7.756504992e-14	8.31006203e-14	1.68902205e-13	6.872972786e-13	1.422622057e-13	7.020522808e-14	1.137350712e-13	1.340606554e-12	5.256054584e-14	2.145432981e-14	2.060511999e-14	3.111015135e-14	1.280497399e-14	3.661428664e-14	1	1
97.489	1705564628.597	01/18/2024_08:57:08.597	1	2	1.61621827e-07	0.0120000001	7.391068551e-13	6.457525487e-12	4.999999912e-15	4.999999912e-15	4.999999912e-15	9.54180921e-15	1.050935733e-13	6.549525733e-14	2.05500764e-14	2.143073994e-14	8.503887224e-15	4.481426894e-13	1.40886177e-13	6.811802424e-12	3.926295324e-13	2.679031042e-12	4.23421671e-12	1.201231128e-11	7.049616018e-14	2.775459441e-13	2.174526021e-14	5.461280164e-14	2.960831111e-14	7.071632776e-14	1.125162856e-13	2.984616948e-13	3.828164456e-13	3.978709723e-11	5.867839309e-13	7.29513997e-13	2.589695155e-14	7.767429928e-12	6.458315192e-14	7.059051287e-14	3.464065921e-14	6.977276016e-14	8.873843771e-14	7.999472666e-14	1.528380151e-13	6.576143167e-13	1.225495535e-13	5.668865239e-14	1.049363098e-13	1.284959877e-12	5.822980173e-14	2.18396163e-14	1.658710062e-14	2.803569958e-14	2.445014812e-14	1.781373646e-14	1	1
106.508	1705564637.616	01/18/2024_08:57:17.616	1	2	1.5995289e-07	0.01400000043	7.005859109e-13	6.222128281e-12	1.697239049e-14	1.178277717e-14	1.590301479e-14	3.968087455e-14	1.262687735e-13	6.764187599e-14	1.40473367e-14	1.860790439e-14	1.068195113e-14	4.239323736e-13	1.49134516e-13	6.746813611e-12	3.670982246e-13	2.657447179e-12	4.11890487e-12	1.164170236e-11	7.858724251e-14	2.829950629e-13	4.999999912e-15	2.713144955e-14	9.644028299e-15	6.169741232e-14	8.663900896e-14	2.596575299e-13	3.860010185e-13	3.955066136e-11	5.883015429e-13	7.304025548e-13	1.140535115e-14	7.733595014e-12	6.021916364e-14	5.968446901e-14	3.663001095e-14	7.921628306e-14	6.694992461e-14	5.845782978e-14	1.314269331e-13	6.490042878e-13	1.275268546e-13	5.65077973e-14	1.271179749e-13	1.252131428e-12	7.36177883e-14	2.49612478e-14	1.779014659e-14	2.78863016e-14	1.631189453e-14	3.247832301e-14	1	1
115.527	1705564646.635	01/18/2024_08:57:26.635	1	2	1.538023184e-07	0.0120000001	6.935640755e-13	6.048363199e-12	2.007829429e-14	1.381930865e-14	1.677581448e-14	1.193217684e-14	1.033007908e-13	5.621686859e-14	4.999999912e-15	9.447452281e-15	8.252269311e-15	4.280761401e-13	1.357909282e-13	6.734556055e-12	3.484391866e-13	2.626364187e-12	4.023219258e-12	1.131336518e-11	7.143972778e-14	2.766024172e-13	1.447980292e-14	3.473501868e-14	4.999999912e-15	5.03353022e-14	1.115727248e-13	2.723249144e-13	3.755195482e-13	3.921953734e-11	5.710892913e-13	7.050127084e-13	2.932523948e-14	7.660806885e-12	7.801323877e-14	6.606139382e-14	2.985992733e-14	6.090324778e-14	4.873124541e-14	5.923628016e-14	1.44283023e-13	6.718935304e-13	1.351618741e-13	7.930277528e-14	1.243108806e-13	1.206659555e-12	7.077923181e-14	2.919943137e-14	4.999999912e-15	2.177671055e-14	2.139928622e-14	3.353983148e-14	1	1
124.546	1705564655.654	01/18/2024_08:57:35.654	1	2	1.478167633e-07	0.0120000001	7.013917442e-13	5.859535513e-12	1.884772652e-14	5.857971019e-15	4.999999912e-15	1.249438395e-14	9.35781468e-14	4.809827124e-14	4.999999912e-15	9.443521201e-15	8.908834194e-15	4.06024281e-13	1.297796235e-13	6.737194136e-12	3.571475526e-13	2.593083951e-12	3.957354843e-12	1.107168437e-11	5.218705513e-14	2.761581382e-13	4.999999912e-15	1.038708711e-14	4.999999912e-15	4.901038343e-14	9.411282788e-14	2.495810362e-13	3.612048811e-13	3.905080773e-11	5.482195644e-13	7.010458295e-13	3.583190941e-14	7.605352979e-12	5.781699853e-14	6.159125537e-14	1.749528257e-14	5.973558237e-14	7.209629351e-14	6.602602173e-14	1.516074457e-13	6.651273499e-13	1.433355116e-13	7.366890165e-14	1.270118451e-13	1.169824979e-12	5.045718007e-14	4.999999912e-15	1.796706637e-14	7.367676381e-15	5.983779553e-15	2.488654966e-14	1	1
133.565	1705564664.673	01/18/2024_08:57:44.673	1	2	1.51277348e-07	0.0120000001	6.803345322e-13	5.723851081e-12	4.999999912e-15	1.024555129e-14	4.999999912e-15	9.52215127e-15	9.941251652e-14	5.798998299e-14	1.455450276e-14	2.326676009e-14	1.571823455e-14	4.208854673e-13	1.467795476e-13	6.707942795e-12	3.40493611e-13	2.573174529e-12	3.866473548e-12	1.081912251e-11	4.798818745e-14	2.761738592e-13	4.999999912e-15	3.927592843e-14	1.732229642e-14	7.84024538e-14	9.82173327e-14	2.387142946e-13	3.536091504e-13	3.879210494e-11	5.510345327e-13	6.811522917e-13	7.005976372e-15	7.561838308e-12	5.431007545e-14	5.937387897e-14	4.003078386e-14	6.947003736e-14	6.641917376e-14	7.855971733e-14	1.551458072e-13	6.517130043e-13	1.358656162e-13	5.622866268e-14	1.300469606e-13	1.150183247e-12	6.358847097e-14	2.531115373e-14	1.512064264e-14	3.613070875e-14	2.251190804e-14	4.141467646e-14	1	1
142.584	1705564673.692	01/18/2024_08:57:53.692	1	2	1.443896736e-07	0.0120000001	6.615811956e-13	5.573139606e-12	4.999999912e-15	1.159013308e-14	5.991642559e-15	1.011187932e-14	1.221760323e-13	5.18489433e-14	1.932737417e-14	3.024128528e-14	1.894994646e-14	3.958415898e-13	1.20005839e-13	6.670931602e-12	3.256717541e-13	2.552660123e-12	3.813578359e-12	1.062999255e-11	6.6254043e-14	2.69246512e-13	2.269275805e-14	2.354196617e-14	7.406991416e-15	5.549739542e-14	9.361745591e-14	2.281070569e-13	3.425301221e-13	3.854168373e-11	5.57694624e-13	6.766468354e-13	2.391939389e-14	7.559032393e-12	7.562680137e-14	7.889783255e-14	4.477219986e-14	6.89589309e-14	7.106623368e-14	5.990070636e-14	1.280890541e-13	6.302234125e-13	1.186848471e-13	6.235397805e-14	1.366440598e-13	1.136446514e-12	5.049649934e-14	4.03374369e-14	1.910720829e-14	2.413955808e-14	1.228208107e-14	3.269455697e-14	1	1
151.603	1705564682.711	01/18/2024_08:58:02.711	1	2	1.435458472e-07	0.01000000071	6.314185828e-13	5.471234577e-12	4.999999912e-15	1.605634469e-14	2.225242627e-14	1.086673306e-14	1.230567026e-13	7.122349043e-14	1.332000306e-14	2.178064417e-14	4.999999912e-15	3.856196233e-13	1.172066052e-13	6.652469808e-12	3.330944732e-13	2.538270809e-12	3.76882206e-12	1.048606688e-11	5.364171902e-14	2.854129422e-13	9.828810231e-15	2.624685578e-14	1.369743162e-14	4.389153971e-14	8.216885017e-14	2.259997473e-13	3.265209555e-13	3.834296769e-11	5.376281018e-13	6.818364775e-13	3.467604486e-14	7.512717878e-12	6.200800236e-14	6.559355381e-14	3.197115356e-14	4.323104374e-14	7.031137825e-14	5.826518738e-14	1.264221068e-13	6.245619798e-13	1.180243647e-13	7.386547428e-14	1.282463176e-13	1.102446693e-12	6.455563352e-14	3.892208889e-14	2.527183954e-14	7.94167927e-15	2.200081006e-14	2.825979569e-14	1	1
160.622	1705564691.730	01/18/2024_08:58:11.730	1	2	1.417300979e-07	0.0120000001	6.277464442e-13	5.347918722e-12	1.968121202e-14	1.908361842e-14	7.257593438e-15	2.285788204e-14	1.065207221e-13	5.701496675e-14	6.156766974e-15	1.150364085e-14	4.999999912e-15	3.650892251e-13	1.189757792e-13	6.603442619e-12	3.204900267e-13	2.506354499e-12	3.714920732e-12	1.031624786e-11	5.949968708e-14	2.786900485e-13	4.999999912e-15	2.700957337e-14	1.383110274e-14	5.333505922e-14	7.815083758e-14	2.247809686e-13	3.345491473e-13	3.823984879e-11	5.502483235e-13	6.56493848e-13	4.798818745e-14	7.470014191e-12	5.569397482e-14	6.144972633e-14	3.999932845e-14	5.644883026e-14	5.270601189e-14	5.698351133e-14	1.251718726e-13	6.338167838e-13	1.337583066e-13	5.83359519e-14	1.341357581e-13	1.096698687e-12	7.900005248e-14	3.125561401e-14	1.159799694e-14	1.791988663e-14	9.679413101e-15	2.1757056e-14	1	1
169.641	1705564700.749	01/18/2024_08:58:20.749	1	2	1.399962741e-07	0.0120000001	6.162192067e-13	5.263517053e-12	1.81243265e-14	8.940285375e-15	5.669257161e-15	1.092177496e-14	1.006548902e-13	5.709359851e-14	4.999999912e-15	4.999999912e-15	4.999999912e-15	3.763648464e-13	1.354095601e-13	6.605692555e-12	3.087740567e-13	2.514060357e-12	3.690278551e-12	1.019792584e-11	6.313241488e-14	2.604320297e-13	4.999999912e-15	2.589302132e-14	4.999999912e-15	4.344334408e-14	9.644029146e-14	2.12970673e-13	3.368294142e-13	3.796607473e-11	5.524027416e-13	6.834954694e-13	4.649420768e-14	7.459037728e-12	6.357275004e-14	6.885672452e-14	1.51992744e-14	6.137109457e-14	4.94507152e-14	5.212415108e-14	1.441532711e-13	6.386446818e-13	1.40284648e-13	7.316566922e-14	1.34308729e-13	1.064098571e-12	7.077530158e-14	2.277925366e-14	9.978209055e-15	4.999999912e-15	1.126774811e-14	1.655171836e-14	1	1
178.66	1705564709.768	01/18/2024_08:58:29.768	1	2	1.344772187e-07	0.0120000001	6.231740926e-13	5.196842089e-12	1.803390065e-14	1.702743239e-14	1.803390404e-14	1.869439662e-14	8.999653236e-14	3.269061996e-14	4.999999912e-15	1.608386479e-14	3.187286725e-14	3.745445523e-13	1.286827226e-13	6.618670022e-12	3.176789615e-13	2.486669507e-12	3.637946064e-12	1.004653478e-11	5.634267331e-14	2.507486948e-13	1.268702804e-14	2.913652392e-14	4.999999912e-15	4.184321075e-14	7.763580767e-14	2.195166656e-13	3.241580995e-13	3.787526889e-11	5.335982307e-13	6.54846457e-13	1.900892028e-14	7.386543634e-12	6.272747214e-14	5.370069623e-14	1.53919168e-14	6.071452884e-14	7.074778317e-14	7.191151158e-14	1.336207078e-13	6.55223922e-13	1.393449971e-13	7.779307797e-14	1.366086741e-13	1.053644585e-12	5.731768955e-14	8.598243306e-15	4.999999912e-15	2.319206195e-14	6.774015976e-15	2.262592206e-14	1	1
