PV MassSpec-23.06.00
EXPORTED SCAN DATA
Run Path and Name: C:\Pfeiffer Vacuum\data\001-17-2024\standard, Position 1, RGA PrismaPro A 200 47504651, 001-17-2024 16'54'15.isi
01/17/2024 16:54:15
SensorID:  RGA PrismaPro A 200 47504651
56 Bins
556 TimePoints

Time Relative (sec)	Time Absolute (UTC)	Time Absolute (Date_Time)	Step	Ionizer_State	Pressure_(Torr)	Analog_1	1_amu	2_amu	3_amu	4_amu	5_amu	6_amu	7_amu	8_amu	9_amu	10_amu	11_amu	12_amu	13_amu	14_amu	15_amu	16_amu	17_amu	18_amu	19_amu	20_amu	21_amu	22_amu	23_amu	24_amu	25_amu	26_amu	27_amu	28_amu	29_amu	30_amu	31_amu	32_amu	33_amu	34_amu	35_amu	36_amu	37_amu	38_amu	39_amu	40_amu	41_amu	42_amu	43_amu	44_amu	45_amu	46_amu	47_amu	48_amu	49_amu	50_amu	Periph:_Digital_In_0	Periph:_Digital_In_1
25.278	1705506880.840	01/17/2024_16:54:40.840	1	2	2.694314958e-07	0.01400000043	4.14485243e-12	1.926843754e-11	9.01498521e-15	4.999999912e-15	4.999999912e-15	1.945711421e-14	8.478332917e-14	8.481477781e-14	5.964122459e-15	7.788350212e-15	4.999999912e-15	9.752420226e-13	3.610279393e-13	6.884842089e-12	1.246548763e-12	5.981928494e-12	1.796383008e-11	5.444799125e-11	5.316875954e-13	3.291668695e-13	7.03349732e-15	4.395837738e-14	8.889176254e-15	9.670369838e-14	1.780076059e-13	4.735638964e-13	6.201940545e-13	5.309617329e-11	1.033743187e-12	7.567595097e-13	3.634693932e-14	1.004575503e-11	3.663001095e-14	3.691308259e-14	1.1059378e-14	7.176211529e-14	7.676301137e-14	9.085359418e-14	1.842351412e-13	8.648921423e-13	1.685405017e-13	1.426867928e-13	1.881037643e-13	2.240941373e-12	1.570918959e-13	1.021016903e-14	4.999999912e-15	2.477253225e-14	1.288360576e-14	8.73191527e-15	1	1
43.222	1705506898.784	01/17/2024_16:54:58.784	1	2	2.280125955e-07	0.0120000001	1.522687141e-12	1.449902958e-11	4.999999912e-15	4.999999912e-15	4.999999912e-15	7.619293448e-15	1.077316337e-13	7.524151658e-14	4.999999912e-15	6.738632445e-15	1.557669873e-14	4.784271395e-13	1.327990316e-13	6.914253458e-12	4.866991142e-13	4.053944246e-12	1.006831164e-11	3.003990459e-11	2.304580951e-13	3.087740838e-13	4.999999912e-15	3.463672559e-14	4.999999912e-15	4.746922392e-14	8.140614783e-14	2.786428315e-13	3.659541203e-13	4.841239215e-11	7.3328431e-13	5.300402044e-13	3.64295047e-14	9.347599951e-12	3.23092654e-14	6.313242165e-14	9.223356162e-15	5.916944587e-14	5.564679509e-14	4.79095523e-14	1.189600718e-13	7.896466684e-13	1.152801541e-13	8.631269121e-14	1.254077679e-13	1.610989337e-12	1.346861668e-13	4.999999912e-15	4.999999912e-15	1.340649698e-14	4.999999912e-15	1.054434894e-14	1	1
61.166	1705506916.728	01/17/2024_16:55:16.728	1	2	2.113203408e-07	0.01000000071	1.277304868e-12	1.344241645e-11	4.999999912e-15	1.619788051e-14	4.999999912e-15	4.999999912e-15	1.021252784e-13	6.365923549e-14	4.999999912e-15	6.573508454e-15	4.999999912e-15	4.246046331e-13	1.187320235e-13	6.900406895e-12	3.84062736e-13	3.727336582e-12	8.906239461e-12	2.626958026e-11	1.957899039e-13	3.125719085e-13	4.999999912e-15	3.705068479e-14	9.750180162e-15	3.783698886e-14	1.04138215e-13	2.068925272e-13	2.882593795e-13	4.689811386e-11	6.771657887e-13	4.618754923e-13	2.582225171e-14	8.971172763e-12	3.142074139e-14	3.969266864e-14	5.755751507e-15	3.723939695e-14	5.057512772e-14	4.783878778e-14	1.004897527e-13	7.629987679e-13	7.847323187e-14	6.985532216e-14	1.205877168e-13	1.435965713e-12	1.211538465e-13	2.396657193e-14	4.999999912e-15	1.157440792e-14	1.613497476e-14	2.292864995e-14	1	1
79.11	1705506934.672	01/17/2024_16:55:34.672	1	2	2.04721772e-07	0.0120000001	1.199401906e-12	1.291521924e-11	4.999999912e-15	1.357555459e-14	1.109083088e-14	4.999999912e-15	1.010440985e-13	9.14826415e-14	1.27577968e-14	1.955147029e-14	4.999999912e-15	3.995254106e-13	1.127443272e-13	6.855528732e-12	3.313370899e-13	3.59099534e-12	8.439068021e-12	2.480850594e-11	1.759632343e-13	2.973057727e-13	4.999999912e-15	2.275959572e-14	1.593446681e-14	4.921088629e-14	6.474827591e-14	1.939224334e-13	2.610414055e-13	4.581769686e-11	6.544141314e-13	4.462948565e-13	3.902037859e-14	8.790200338e-12	5.043752552e-14	5.748282032e-14	1.127954304e-14	4.402127466e-14	5.314241343e-14	5.374000195e-14	8.273893045e-14	7.528908595e-13	9.620046594e-14	7.97824331e-14	1.169903611e-13	1.357590581e-12	1.189404071e-13	1.665786853e-14	4.999999912e-15	4.999999912e-15	1.461347658e-14	2.851534723e-14	1	1
97.054	1705506952.616	01/17/2024_16:55:52.616	1	2	1.977369806e-07	0.01000000071	1.167084767e-12	1.255435166e-11	2.755605531e-14	2.365598189e-14	1.412596592e-14	1.000572916e-14	1.209376024e-13	5.145972488e-14	4.999999912e-15	1.805749221e-14	4.999999912e-15	3.689067552e-13	1.030727763e-13	6.820978244e-12	3.303463189e-13	3.508983902e-12	8.206950744e-12	2.397967762e-11	1.725191984e-13	3.079209251e-13	4.999999912e-15	1.041460805e-14	1.78058743e-14	3.658283461e-14	4.925806941e-14	1.678328429e-13	2.553328371e-13	4.514794788e-11	6.502781169e-13	4.373466921e-13	3.057546349e-14	8.665005345e-12	2.164304028e-14	3.727478599e-14	4.999999912e-15	2.928592698e-14	2.827945194e-14	4.570397337e-14	8.272319597e-14	7.306698107e-13	8.668617175e-14	5.561141283e-14	1.229820147e-13	1.320539923e-12	1.073188237e-13	4.999999912e-15	7.363744454e-15	2.459954779e-14	1.55727668e-14	1.195576502e-14	1	1
114.998	1705506970.560	01/17/2024_16:56:10.560	1	2	1.934197087e-07	0.01000000071	1.140177471e-12	1.231437174e-11	4.999999912e-15	1.403161069e-14	4.999999912e-15	5.759683434e-15	8.8887834e-14	4.932097347e-14	1.881234426e-14	9.313780317e-15	4.999999912e-15	3.544387277e-13	9.187579354e-14	6.770654783e-12	3.09241917e-13	3.453030179e-12	8.045396814e-12	2.342495468e-11	1.658198996e-13	2.967239356e-13	4.999999912e-15	4.340795843e-14	4.999999912e-15	4.847176873e-14	3.592233864e-14	1.772370635e-13	2.569683561e-13	4.456894229e-11	6.235437514e-13	4.168712901e-13	4.999999912e-15	8.53333116e-12	4.671044164e-14	5.202586476e-14	4.999999912e-15	3.831270628e-14	4.045145769e-14	4.847176873e-14	8.549099471e-14	7.323368257e-13	8.366677034e-14	5.035889715e-14	1.21409393e-13	1.281995343e-12	1.309394216e-13	8.307309512e-15	4.999999912e-15	1.047751295e-14	4.999999912e-15	9.754111242e-15	1	1
132.942	1705506988.504	01/17/2024_16:56:28.504	1	2	1.856585214e-07	0.01400000043	1.126814137e-12	1.206700451e-11	9.39634316e-15	5.433366532e-15	4.999999912e-15	4.999999912e-15	1.194161144e-13	6.37142723e-14	4.999999912e-15	1.389400679e-14	4.999999912e-15	3.328507175e-13	1.038158342e-13	6.73536964e-12	3.098591262e-13	3.430734646e-12	7.919529615e-12	2.30742786e-11	1.625999682e-13	2.958315017e-13	4.999999912e-15	3.34887249e-14	8.89310818e-15	3.729444054e-14	5.597703968e-14	1.496416787e-13	2.662035089e-13	4.414315441e-11	6.146309048e-13	3.942139312e-13	1.619001665e-14	8.45185727e-12	2.823620921e-14	4.415101639e-14	2.86765376e-14	2.968300925e-14	4.408811234e-14	2.892815382e-14	8.374933234e-14	7.376719136e-13	7.972344573e-14	5.8965006e-14	1.152644196e-13	1.266131622e-12	1.000101084e-13	1.128347497e-14	1.100040503e-14	1.282463278e-14	6.78581091e-15	8.012446331e-15	1	1
150.886	1705507006.448	01/17/2024_16:56:46.448	1	2	1.863347592e-07	0.01400000043	1.10494708e-12	1.18702331e-11	1.298975592e-14	1.39018698e-14	4.999999912e-15	2.560208583e-14	1.163731248e-13	7.598849799e-14	2.491013784e-14	2.81497136e-14	7.83159548e-15	3.385513983e-13	9.369608767e-14	6.692319008e-12	3.026644419e-13	3.378924961e-12	7.823372158e-12	2.273212001e-11	1.559714407e-13	2.876303254e-13	9.215493155e-15	3.437724552e-14	4.999999912e-15	3.594985366e-14	4.000718891e-14	1.591481124e-13	2.643557031e-13	4.369342388e-11	6.180356248e-13	4.063623353e-13	1.94689083e-14	8.348403566e-12	5.988497865e-14	6.422537876e-14	2.069554414e-14	4.025881191e-14	3.387401308e-14	3.154655289e-14	8.416607933e-14	7.281497454e-13	1.02188169e-13	3.749101995e-14	1.173166924e-13	1.243556907e-12	1.121899746e-13	2.229960601e-14	2.349478813e-14	2.07584482e-14	9.467110222e-15	1.116552902e-14	1	1
168.83	1705507024.392	01/17/2024_16:57:04.392	1	2	1.651359298e-07	0.01000000071	1.092527327e-12	1.170600856e-11	4.999999912e-15	4.999999912e-15	4.999999912e-15	4.999999912e-15	1.236267897e-13	9.097940907e-14	4.999999912e-15	1.939421016e-14	9.455316135e-15	3.574424014e-13	1.119265677e-13	6.673750962e-12	3.207376855e-13	3.346061492e-12	7.746994019e-12	2.248141777e-11	1.51933777e-13	2.914242469e-13	1.021016818e-14	3.914619009e-14	4.999999912e-15	2.304266397e-14	5.235611274e-14	1.540725148e-13	2.645326178e-13	4.326728906e-11	5.905346199e-13	3.988963836e-13	2.102972405e-14	8.275218184e-12	5.814331628e-14	5.512389793e-14	8.480297356e-15	4.886491738e-14	4.600276255e-14	4.980848159e-14	1.060135663e-13	7.357179102e-13	8.30534575e-14	5.204158908e-14	1.1717908e-13	1.241925182e-12	1.358616859e-13	1.382717081e-14	1.338684074e-14	1.983454023e-14	4.999999912e-15	1.974018415e-14	1	1
186.774	1705507042.336	01/17/2024_16:57:22.336	1	2	1.786901294e-07	0.0120000001	1.084082477e-12	1.155325835e-11	4.999999912e-15	4.999999912e-15	9.644029146e-15	1.445621475e-14	1.07114377e-13	6.701283544e-14	4.999999912e-15	1.470783266e-14	5.775409448e-15	3.632610434e-13	1.006981364e-13	6.647047929e-12	2.9529287e-13	3.324862738e-12	7.634144185e-12	2.224442679e-11	1.624073326e-13	3.04697077e-13	4.999999912e-15	8.417393301e-15	4.999999912e-15	2.43636559e-14	5.273353369e-14	1.604887555e-13	2.554429107e-13	4.294757605e-11	5.924846659e-13	3.839251779e-13	2.681692589e-14	8.241485619e-12	2.901858306e-14	4.732375787e-14	6.750427379e-15	1.996034834e-14	3.515175889e-14	4.279463882e-14	9.299234559e-14	7.099585676e-13	9.362138614e-14	5.914978793e-14	1.101652474e-13	1.236421122e-12	1.484425647e-13	1.860790439e-14	4.999999912e-15	1.527397254e-14	1.461347658e-14	9.581125091e-15	1	1
